Time 		 total_aerosol_mass(Kg)
   1.488889e+00   4.075090e+02
   1.494444e+00   4.068409e+02
   1.500000e+00   4.061643e+02
   1.505556e+00   4.054794e+02
   1.511111e+00   4.047858e+02
   1.516667e+00   4.040836e+02
   1.522222e+00   4.033726e+02
   1.527778e+00   4.026528e+02
   1.533333e+00   4.019240e+02
   1.538889e+00   4.011862e+02
   1.544444e+00   4.004392e+02
   1.550000e+00   3.996829e+02
   1.555556e+00   3.989174e+02
   1.561111e+00   3.981424e+02
   1.566667e+00   3.973579e+02
   1.572222e+00   3.965637e+02
   1.577778e+00   3.957599e+02
   1.583333e+00   3.949463e+02
   1.588889e+00   3.941228e+02
   1.594444e+00   3.932893e+02
   1.600000e+00   3.924458e+02
   1.605556e+00   3.915922e+02
   1.611111e+00   3.907283e+02
   1.616667e+00   3.898542e+02
   1.622222e+00   3.889697e+02
   1.627778e+00   3.880748e+02
   1.633333e+00   3.871695e+02
   1.638889e+00   3.862535e+02
   1.644444e+00   3.853269e+02
   1.650000e+00   3.843897e+02
   1.655556e+00   3.834417e+02
   1.661111e+00   3.824830e+02
   1.666667e+00   3.815134e+02
   1.672222e+00   3.805329e+02
   1.677778e+00   3.795416e+02
   1.683333e+00   3.785392e+02
   1.688889e+00   3.775259e+02
   1.694444e+00   3.765017e+02
   1.700000e+00   3.754664e+02
   1.705556e+00   3.744200e+02
   1.711111e+00   3.733626e+02
   1.716667e+00   3.722942e+02
   1.722222e+00   3.712148e+02
   1.727778e+00   3.701243e+02
   1.733333e+00   3.690228e+02
   1.738889e+00   3.679104e+02
   1.744444e+00   3.667869e+02
   1.750000e+00   3.656526e+02
   1.755556e+00   3.645074e+02
   1.761111e+00   3.633513e+02
   1.766667e+00   3.621846e+02
   1.772222e+00   3.610071e+02
   1.777778e+00   3.598190e+02
   1.783333e+00   3.586203e+02
   1.788889e+00   3.574112e+02
   1.794444e+00   3.561918e+02
   1.800000e+00   3.549622e+02
   1.805556e+00   3.537224e+02
   1.811111e+00   3.524726e+02
   1.816667e+00   3.512130e+02
   1.822222e+00   3.499436e+02
   1.827778e+00   3.486647e+02
   1.833333e+00   3.473763e+02
   1.838889e+00   3.460788e+02
   1.844444e+00   3.447721e+02
   1.850000e+00   3.434566e+02
   1.855556e+00   3.421324e+02
   1.861111e+00   3.407997e+02
   1.866667e+00   3.394587e+02
   1.872222e+00   3.381097e+02
   1.877778e+00   3.367528e+02
   1.883333e+00   3.353884e+02
   1.888889e+00   3.340165e+02
   1.894444e+00   3.326376e+02
   1.900000e+00   3.312518e+02
   1.905556e+00   3.298594e+02
   1.911111e+00   3.284606e+02
   1.916667e+00   3.270558e+02
   1.922222e+00   3.256452e+02
   1.927778e+00   3.242291e+02
   1.933333e+00   3.228078e+02
   1.938889e+00   3.213816e+02
   1.944444e+00   3.199507e+02
   1.950000e+00   3.185155e+02
   1.955556e+00   3.170763e+02
   1.961111e+00   3.156334e+02
   1.966667e+00   3.141871e+02
   1.972222e+00   3.127377e+02
   1.977778e+00   3.112855e+02
   1.983333e+00   3.098309e+02
   1.988889e+00   3.083741e+02
   1.994444e+00   3.069154e+02
   2.000000e+00   3.054553e+02
   2.005556e+00   3.039939e+02
   2.011111e+00   3.025317e+02
   2.016667e+00   3.010689e+02
   2.022222e+00   2.996059e+02
   2.027778e+00   2.981429e+02
   2.033333e+00   2.966802e+02
   2.038889e+00   2.952183e+02
   2.044444e+00   2.937573e+02
   2.050000e+00   2.922975e+02
   2.055556e+00   2.908394e+02
   2.061111e+00   2.893831e+02
   2.066667e+00   2.879289e+02
   2.072222e+00   2.864772e+02
   2.077778e+00   2.850282e+02
   2.083333e+00   2.835822e+02
   2.088889e+00   2.821394e+02
   2.094444e+00   2.807002e+02
   2.100000e+00   2.792647e+02
   2.105556e+00   2.778333e+02
   2.111111e+00   2.764061e+02
   2.116667e+00   2.749835e+02
   2.122222e+00   2.735656e+02
   2.127778e+00   2.721526e+02
   2.133333e+00   2.707449e+02
   2.138889e+00   2.693426e+02
   2.144444e+00   2.679459e+02
   2.150000e+00   2.665550e+02
   2.155556e+00   2.651701e+02
   2.161111e+00   2.637915e+02
   2.166667e+00   2.624192e+02
   2.172222e+00   2.610535e+02
   2.177778e+00   2.596945e+02
   2.183333e+00   2.583423e+02
   2.188889e+00   2.569973e+02
   2.194444e+00   2.556594e+02
   2.200000e+00   2.543288e+02
   2.205556e+00   2.530056e+02
   2.211111e+00   2.516901e+02
   2.216667e+00   2.503822e+02
